1481584462 0 489 0 0 0
1481779482 0 519 0 0 0
1481779559 0 520 0 0 0
1481779579 0 521 0 0 0
1483137835 0 596 0 0 0
1483138712 0 614 0 0 0
1483171944 0 614 0 0 0
1485637309 52 614 0 0 0
1513547401 97 614 0 0 0
1513548339 101 614 0 0 0
1513665494 104 614 0 0 0
1514421997 114 614 0 0 0
1514422603 122 614 0 0 0
1514599986 124 614 0 0 0
1514601266 124 614 0 0 0
1514837902 428 614 0 0 0
1514838041 428 614 0 0 0
1514869782 432 614 0 0 0
1514995911 432 614 0 0 0
1515523337 506 614 0 0 0
1515525052 506 614 0 0 0
1515525735 517 614 0 0 0
1515636876 517 614 0 0 0
1515636884 517 614 0 0 0
1548874085 517 614 0 1 0
1565801753 517 614 3 1 0
1598071917 517 625 3 1 0
1611903793 517 717 3 1 0
1611904367 517 737 3 1 0
1612064784 517 803 3 1 0
1612137437 517 803 3 1 0
1649401539 517 803 3 1 5
1649485255 517 803 3 1 5
